Molecule ChEMBL ID,mw,mw_H,qed,max_charge,min_charge,max_abs_charge,min_abs_charge,aliphaticCarbocycles,aliphaticHeterocycles,aliphaticRings,aromaticCarbocycles,aromaticHeterocycles,aromaticRings,HAcceptors,HDonors,heteroatoms,rotatableBonds,saturatedCarbocycles,saturatedHeterocycles,satureatedRings,ringCount,molLogP,molMR
CHEMBL65312,249.291,238.203,0.849521561,0.353496974,-0.492044207,0.492044207,0.353496974,0,0,0,1,1,2,5,1,5,3,0,0,0,2,2.6924,65.1713
CHEMBL5277486,263.318,250.214,0.795566344,0.353502504,-0.479761793,0.479761793,0.353502504,0,0,0,1,1,2,5,0,5,4,0,0,0,2,2.9954,70.0585
CHEMBL5273671,283.736,273.656,0.877777804,0.353496974,-0.492044207,0.492044207,0.353496974,0,0,0,1,1,2,5,1,6,3,0,0,0,2,3.3458,70.1813
CHEMBL5286159,267.668,257.588,0.865858871,0.379611782,-0.490348457,0.490348457,0.379611782,0,0,0,1,1,2,5,1,6,3,0,0,0,2,2.8773,64.5703
CHEMBL5280890,477.483,458.331,0.339415518,0.415909855,-0.30954678,0.415909855,0.30954678,0,0,0,3,1,4,4,0,10,6,0,0,0,4,5.6096,116.6198
CHEMBL258502,366.461,340.253,0.50223671,0.118381023,-0.496768219,0.496768219,0.118381023,0,0,0,2,1,3,5,0,5,10,0,0,0,3,4.291,105.229
CHEMBL465718,358.478,328.238,0.543588086,0.339271357,-0.506581201,0.506581201,0.339271357,1,1,2,1,0,1,3,2,4,5,0,0,0,3,5.434,102.2241
CHEMBL5269402,628.718,588.398,0.315423783,0.310081227,-0.504254602,0.504254602,0.310081227,3,2,5,2,0,2,9,2,9,8,1,2,3,7,4.7447,166.6926
CHEMBL5275380,566.565,545.397,0.260608815,0.572596301,-0.405799676,0.572596301,0.405799676,1,0,1,3,2,5,7,1,13,8,1,0,1,6,5.5864,139.8255
CHEMBL4241349,453.323,441.227,0.549886971,0.572697671,-0.477598628,0.572697671,0.477598628,0,0,0,1,2,3,5,2,12,6,0,0,0,3,3.871,97.7835
CHEMBL4238340,414.412,401.308,0.529002485,0.417756267,-0.337183376,0.417756267,0.337183376,0,0,0,1,3,4,5,1,9,4,0,0,0,4,4.6245,102.4052
CHEMBL4245611,421.422,403.278,0.475023086,0.41775465,-0.339520437,0.41775465,0.339520437,0,0,0,2,2,4,3,1,7,4,0,0,0,4,5.47642,111.4702
CHEMBL5279438,233.292,222.204,0.764927628,0.349468661,-0.461760744,0.461760744,0.349468661,0,0,0,1,1,2,4,0,4,3,0,0,0,2,2.9868,63.5065
CHEMBL5273282,267.281,257.201,0.86862504,0.353496974,-0.492044207,0.492044207,0.353496974,0,0,0,1,1,2,5,1,6,3,0,0,0,2,2.8315,65.1293
CHEMBL5281922,350.396,332.252,0.658567431,0.276063976,-0.496687393,0.496687393,0.276063976,0,0,0,2,0,2,5,1,8,5,0,0,0,2,3.32946,91.1099
CHEMBL5289538,235.264,226.192,0.811270226,0.361036022,-0.497721249,0.497721249,0.361036022,0,0,0,1,1,2,5,1,5,2,0,0,0,2,2.3023,60.5543
CHEMBL5269570,287.348,274.244,0.800549461,0.23369122,-0.492134,0.492134,0.23369122,0,0,0,1,2,3,7,1,7,3,0,0,0,3,2.49752,76.4368
CHEMBL5274774,472.758,420.342,0.114498469,0.072220413,-0.391526452,0.391526452,0.072220413,0,0,0,0,0,0,4,4,4,21,0,0,0,0,6.421,149.5564
CHEMBL190461,314.469,284.229,0.510774868,0.12286807,-0.507496958,0.507496958,0.12286807,1,0,1,1,0,1,2,2,2,6,0,0,0,2,5.8465,97.0366
CHEMBL5290143,263.318,250.214,0.860856182,0.34985888,-0.461751894,0.461751894,0.34985888,0,0,0,1,1,2,5,1,5,4,0,0,0,2,2.4791,69.4293
CHEMBL5285119,588.717,557.469,0.205585178,0.572596301,-0.405799676,0.572596301,0.405799676,0,1,1,3,1,4,5,0,10,9,0,1,1,5,7.32432,154.5138
CHEMBL5291176,280.305,268.209,0.838389848,0.292350348,-0.507218971,0.507218971,0.292350348,0,0,0,1,1,2,6,2,7,3,0,0,0,2,1.8547,69.9821
CHEMBL3687409,529.54,507.364,0.355766561,0.572596301,-0.405799676,0.572596301,0.405799676,0,0,0,3,1,4,5,1,11,7,0,0,0,4,5.19692,132.806
CHEMBL5093646,361.394,345.266,0.481884828,0.350816769,-0.481229979,0.481229979,0.350816769,0,0,0,1,1,2,5,1,7,6,0,0,0,2,3.7323,91.8293
CHEMBL5274341,567.379,543.187,0.201235543,0.418731491,-0.305355078,0.418731491,0.305355078,0,0,0,2,1,3,4,0,10,8,0,0,0,3,9.1486,127.4205
CHEMBL5280999,260.264,247.16,0.860466382,0.341398563,-0.507029618,0.507029618,0.341398563,0,0,0,2,0,2,3,1,4,3,0,0,0,2,3.375,69.4573
CHEMBL5284655,237.255,229.191,0.816908525,0.233300142,-0.492142481,0.492142481,0.233300142,0,0,0,1,1,2,4,1,5,2,0,0,0,2,2.8574,59.1773
CHEMBL5267628,322.361,307.241,0.921992356,0.292627111,-0.492089574,0.492089574,0.292627111,0,1,1,1,1,2,5,1,7,2,0,1,1,3,3.2125,80.0123
CHEMBL5282295,224.716,215.644,0.791996509,0.118243375,-0.276712172,0.276712172,0.118243375,0,0,0,1,1,2,2,1,4,2,0,0,0,2,3.452,60.8147
CHEMBL5283563,262.334,248.222,0.924691392,0.268807317,-0.49209056,0.49209056,0.268807317,0,0,0,1,1,2,4,1,5,3,0,0,0,2,2.6076,71.8493
CHEMBL5266721,521.446,501.286,0.311384235,0.449702365,-0.323063001,0.449702365,0.323063001,1,1,2,1,2,3,6,1,13,4,1,1,2,5,4.43032,119.3252
CHEMBL5287298,296.326,280.198,0.480273978,0.269522234,-0.309168468,0.309168468,0.269522234,0,0,0,2,0,2,3,0,5,5,0,0,0,2,3.6611,86.5994
CHEMBL5279842,296.323,283.219,0.881119376,0.292360892,-0.492089575,0.492089575,0.292360892,0,0,0,1,1,2,5,1,7,4,0,0,0,2,2.6783,72.8923
CHEMBL5278729,277.284,269.22,0.773135095,0.23369123,-0.492134,0.492134,0.23369123,0,0,0,1,2,3,7,1,8,2,0,0,0,3,1.8453,66.9648
CHEMBL5268544,342.211,333.139,0.788331952,0.233692957,-0.492133991,0.492133991,0.233692957,0,0,0,1,2,3,7,1,9,3,0,0,0,3,3.4959,81.7198
CHEMBL5277700,248.307,236.211,0.847716544,0.351705643,-0.461701751,0.461701751,0.351705643,0,0,0,1,1,2,5,1,5,3,0,0,0,2,2.569,67.9189
CHEMBL5279560,306.343,292.231,0.889866793,0.292627139,-0.507218971,0.507218971,0.292627139,0,1,1,1,1,2,6,2,7,2,0,1,1,3,2.3889,77.1021
CHEMBL465,314.469,284.229,0.567315994,0.127411355,-0.507497006,0.507497006,0.127411355,1,1,2,1,0,1,2,1,2,4,0,0,0,3,5.7358,95.2648
